"Date","Price","Open","High","Low","Change %"
"Dec 10, 1990","1.3944","1.3944","1.4026","1.3932","0.37%"
"Dec 11, 1990","1.3881","1.3881","1.3961","1.3870","-0.45%"
"Dec 12, 1990","1.3868","1.3868","1.3929","1.3862","-0.09%"
"Dec 13, 1990","1.3869","1.3869","1.3923","1.3852","0.01%"
"Dec 14, 1990","1.3840","1.3840","1.3912","1.3805","-0.21%"
"Dec 17, 1990","1.3775","1.3775","1.3922","1.3762","-0.47%"
"Dec 18, 1990","1.3784","1.3784","1.3815","1.3758","0.07%"
"Dec 19, 1990","1.3832","1.3832","1.3882","1.3773","0.35%"
"Dec 20, 1990","1.3638","1.3638","1.3856","1.3638","-1.40%"
"Dec 21, 1990","1.3405","1.3405","1.3615","1.3395","-1.71%"
"Dec 24, 1990","1.3339","1.3339","1.3585","1.3339","-0.49%"
"Dec 25, 1990","1.3339","1.3339","1.3339","1.3339","0.00%"
"Dec 26, 1990","1.3339","1.3339","1.3339","1.3339","0.00%"
"Dec 27, 1990","1.3405","1.3405","1.3445","1.3340","0.49%"
"Dec 28, 1990","1.3574","1.3574","1.3595","1.3455","1.26%"
"Dec 31, 1990","1.3670","1.3670","1.3705","1.3584","0.71%"
"Jan 02, 1991","1.3773","1.3773","1.3822","1.3678","0.75%"
"Jan 03, 1991","1.3777","1.3777","1.3807","1.3742","0.03%"
"Jan 04, 1991","1.3675","1.3675","1.3825","1.3675","-0.74%"
"Jan 07, 1991","1.3465","1.3465","1.3627","1.3370","-1.54%"
"Jan 08, 1991","1.3432","1.3432","1.3453","1.3373","-0.25%"
"Jan 09, 1991","1.3635","1.3635","1.3640","1.3344","1.51%"
"Jan 10, 1991","1.3531","1.3531","1.3584","1.3464","-0.76%"
"Jan 11, 1991","1.3462","1.3462","1.3532","1.3427","-0.51%"
"Jan 14, 1991","1.3423","1.3423","1.3448","1.3320","-0.29%"
"Jan 15, 1991","1.3373","1.3373","1.3422","1.3373","-0.37%"
"Jan 16, 1991","1.3363","1.3363","1.3396","1.3323","-0.07%"
"Jan 17, 1991","1.3624","1.3624","1.3632","1.3327","1.95%"
"Jan 18, 1991","1.3738","1.3738","1.3746","1.3568","0.84%"
"Jan 21, 1991","1.3812","1.3812","1.3834","1.3643","0.54%"
"Jan 22, 1991","1.3786","1.3786","1.3872","1.3761","-0.19%"
"Jan 23, 1991","1.3842","1.3842","1.3842","1.3717","0.41%"
"Jan 24, 1991","1.3861","1.3861","1.3921","1.3847","0.14%"
"Jan 25, 1991","1.3830","1.3830","1.3881","1.3807","-0.22%"
"Jan 28, 1991","1.3840","1.3840","1.3865","1.3815","0.07%"
"Jan 29, 1991","1.3874","1.3874","1.3925","1.3842","0.25%"
"Jan 30, 1991","1.3840","1.3840","1.3841","1.3745","-0.25%"
"Jan 31, 1991","1.3932","1.3932","1.3932","1.3825","0.66%"
"Feb 01, 1991","1.4003","1.4003","1.4027","1.3882","0.51%"
"Feb 04, 1991","1.4015","1.4015","1.4093","1.3972","0.09%"
"Feb 05, 1991","1.4075","1.4075","1.4075","1.4024","0.43%"
"Feb 06, 1991","1.4159","1.4159","1.4172","1.4092","0.60%"
"Feb 07, 1991","1.4185","1.4185","1.4193","1.4097","0.18%"
"Feb 08, 1991","1.4085","1.4085","1.4122","1.4042","-0.70%"
"Feb 11, 1991","1.4186","1.4186","1.4217","1.4084","0.72%"
"Feb 12, 1991","1.4125","1.4125","1.4193","1.4105","-0.43%"
"Feb 13, 1991","1.4095","1.4095","1.4133","1.4065","-0.21%"
"Feb 14, 1991","1.3991","1.3991","1.4120","1.3986","-0.74%"
"Feb 15, 1991","1.3915","1.3915","1.4030","1.3895","-0.54%"
"Feb 18, 1991","1.3871","1.3871","1.3947","1.3865","-0.32%"
"Feb 19, 1991","1.3819","1.3819","1.3916","1.3799","-0.37%"
"Feb 20, 1991","1.3765","1.3765","1.3844","1.3742","-0.39%"
"Feb 21, 1991","1.3822","1.3822","1.3848","1.3751","0.41%"
"Feb 22, 1991","1.3692","1.3692","1.3870","1.3692","-0.94%"
"Feb 25, 1991","1.3530","1.3530","1.3675","1.3524","-1.18%"
"Feb 26, 1991","1.3493","1.3493","1.3662","1.3466","-0.27%"
"Feb 27, 1991","1.3515","1.3515","1.3548","1.3477","0.16%"
"Feb 28, 1991","1.3457","1.3457","1.3588","1.3457","-0.43%"
"Mar 01, 1991","1.3365","1.3365","1.3471","1.3357","-0.68%"
"Mar 04, 1991","1.3388","1.3388","1.3395","1.3306","0.17%"
"Mar 05, 1991","1.3375","1.3375","1.3467","1.3355","-0.10%"
"Mar 06, 1991","1.3352","1.3352","1.3377","1.3256","-0.17%"
"Mar 07, 1991","1.3281","1.3281","1.3373","1.3281","-0.53%"
